District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
Chaplin School District,0240011,Total District Expenditures,0000000,"$1,094.00","$23,553.00","$24,647.00"
Cheshire School District,0250011,Total District Expenditures,0000000,$479.00,"$18,684.00","$19,163.00"
Chester School District,0260011,Total District Expenditures,0000000,"$1,008.00","$22,147.00","$23,155.00"
Clinton School District,0270011,Total District Expenditures,0000000,$935.00,"$21,260.00","$22,195.00"
Colchester School District,0280011,Total District Expenditures,0000000,$959.00,"$18,459.00","$19,418.00"
Colebrook School District,0290011,Total District Expenditures,0000000,"$1,084.00","$26,715.00","$27,799.00"
Columbia School District,0300011,Total District Expenditures,0000000,$519.00,"$19,548.00","$20,067.00"
Common Ground High School District,2680013,Total District Expenditures,0000000,"$4,123.00","$17,039.00","$21,161.00"
Connecticut Technical Education and Career System,9000016,Total District Expenditures,0000000,$0.00,$0.00,$0.00
Cooperative Educational Services,2430014,Total District Expenditures,0000000,$992.00,"$40,018.00","$41,010.00"
Cornwall School District,0310011,Total District Expenditures,0000000,"$1,273.00","$27,295.00","$28,568.00"
Coventry School District,0320011,Total District Expenditures,0000000,$607.00,"$17,072.00","$17,679.00"
Cromwell School District,0330011,Total District Expenditures,0000000,$937.00,"$17,412.00","$18,348.00"
Danbury School District,0340011,Total District Expenditures,0000000,"$1,540.00","$14,496.00","$16,037.00"
Darien School District,0350011,Total District Expenditures,0000000,$431.00,"$23,124.00","$23,555.00"
Deep River School District,0360011,Total District Expenditures,0000000,"$1,426.00","$24,774.00","$26,200.00"
Derby School District,0370011,Total District Expenditures,0000000,"$2,407.00","$19,609.00","$22,016.00"
East Granby School District,0400011,Total District Expenditures,0000000,$608.00,"$21,401.00","$22,009.00"
East Haddam School District,0410011,Total District Expenditures,0000000,$529.00,"$22,400.00","$22,929.00"
East Hampton School District,0420011,Total District Expenditures,0000000,$468.00,"$19,041.00","$19,508.00"
East Hartford School District,0430011,Total District Expenditures,0000000,"$1,473.00","$15,056.00","$16,529.00"
East Haven School District,0440011,Total District Expenditures,0000000,"$2,724.00","$16,148.00","$18,872.00"
East Lyme School District,0450011,Total District Expenditures,0000000,$817.00,"$19,506.00","$20,323.00"
East Windsor School District,0470011,Total District Expenditures,0000000,"$1,794.00","$22,282.00","$24,076.00"
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Total District Expenditures,0000000,"$12,764.00","$43,691.00","$56,455.00"
Eastford School District,0390011,Total District Expenditures,0000000,$953.00,"$21,800.00","$22,753.00"
Easton School District,0460011,Total District Expenditures,0000000,$528.00,"$19,580.00","$20,108.00"
EdAdvance,2420014,Total District Expenditures,0000000,"$11,830.00","$39,115.00","$50,946.00"
Ellington School District,0480011,Total District Expenditures,0000000,$352.00,"$16,424.00","$16,776.00"
Elm City College Preparatory School District,2890013,Total District Expenditures,0000000,"$1,910.00","$13,741.00","$15,651.00"
Elm City Montessori School District,2910013,Total District Expenditures,0000000,$35.00,"$13,580.00","$13,616.00"
Enfield School District,0490011,Total District Expenditures,0000000,"$2,147.00","$16,370.00","$18,517.00"
Essex School District,0500011,Total District Expenditures,0000000,$698.00,"$24,943.00","$25,641.00"
Explorations District,2720013,Total District Expenditures,0000000,"$1,889.00","$17,719.00","$19,608.00"
Fairfield School District,0510011,Total District Expenditures,0000000,$529.00,"$21,483.00","$22,012.00"
Farmington School District,0520011,Total District Expenditures,0000000,$581.00,"$18,817.00","$19,398.00"
Franklin School District,0530011,Total District Expenditures,0000000,$566.00,"$21,125.00","$21,691.00"
Glastonbury School District,0540011,Total District Expenditures,0000000,$643.00,"$19,625.00","$20,268.00"
Goodwin University Educational Services (GUES),2310018,Total District Expenditures,0000000,$855.00,"$15,995.00","$16,850.00"
Granby School District,0560011,Total District Expenditures,0000000,$554.00,"$18,467.00","$19,021.00"
Great Oaks Charter School District,2940013,Total District Expenditures,0000000,"$3,235.00","$12,257.00","$15,492.00"
Greenwich School District,0570011,Total District Expenditures,0000000,$940.00,"$25,439.00","$26,379.00"
Griswold School District,0580011,Total District Expenditures,0000000,$963.00,"$16,700.00","$17,662.00"
Groton School District,0590011,Total District Expenditures,0000000,"$1,260.00","$17,720.00","$18,980.00"
Guilford School District,0600011,Total District Expenditures,0000000,$426.00,"$20,232.00","$20,657.00"
Hamden School District,0620011,Total District Expenditures,0000000,"$1,373.00","$20,858.00","$22,231.00"
Hampton School District,0630011,Total District Expenditures,0000000,"$2,503.00","$26,198.00","$28,701.00"
Hartford School District,0640011,Total District Expenditures,0000000,"$2,734.00","$17,939.00","$20,673.00"
Hartland School District,0650011,Total District Expenditures,0000000,$662.00,"$23,609.00","$24,271.00"
Hebron School District,0670011,Total District Expenditures,0000000,$565.00,"$18,098.00","$18,663.00"
Highville Charter School District,2860013,Total District Expenditures,0000000,"$2,011.00","$9,850.00","$11,861.00"
Integrated Day Charter School District,2640013,Total District Expenditures,0000000,$751.00,"$12,773.00","$13,524.00"
Interdistrict School for Arts and Comm District,2650013,Total District Expenditures,0000000,"$2,580.00","$14,160.00","$16,740.00"
Jumoke Academy District,2610013,Total District Expenditures,0000000,"$2,353.00","$12,261.00","$14,614.00"
Kent School District,0680011,Total District Expenditures,0000000,"$1,500.00","$26,729.00","$28,230.00"
Killingly School District,0690011,Total District Expenditures,0000000,"$1,066.00","$17,566.00","$18,632.00"
Learn,2450014,Total District Expenditures,0000000,"$2,267.00","$21,718.00","$23,985.00"
Lebanon School District,0710011,Total District Expenditures,0000000,$433.00,"$21,700.00","$22,134.00"
Ledyard School District,0720011,Total District Expenditures,0000000,$935.00,"$15,621.00","$16,556.00"
Lisbon School District,0730011,Total District Expenditures,0000000,$894.00,"$17,366.00","$18,259.00"
Litchfield School District,0740011,Total District Expenditures,0000000,$665.00,"$21,899.00","$22,563.00"
Madison School District,0760011,Total District Expenditures,0000000,$653.00,"$23,166.00","$23,819.00"
Manchester School District,0770011,Total District Expenditures,0000000,"$2,585.00","$17,496.00","$20,081.00"
Mansfield School District,0780011,Total District Expenditures,0000000,$848.00,"$24,295.00","$25,143.00"
Marlborough School District,0790011,Total District Expenditures,0000000,$758.00,"$17,576.00","$18,334.00"
Meriden School District,0800011,Total District Expenditures,0000000,"$2,048.00","$13,984.00","$16,031.00"
Middletown School District,0830011,Total District Expenditures,0000000,$785.00,"$21,255.00","$22,039.00"
Milford School District,0840011,Total District Expenditures,0000000,$979.00,"$21,688.00","$22,667.00"
Monroe School District,0850011,Total District Expenditures,0000000,$531.00,"$17,985.00","$18,516.00"
Montville School District,0860011,Total District Expenditures,0000000,$853.00,"$18,552.00","$19,404.00"
Naugatuck School District,0880011,Total District Expenditures,0000000,"$2,072.00","$15,281.00","$17,353.00"
New Beginnings Inc Family Academy District,2800013,Total District Expenditures,0000000,"$2,063.00","$14,590.00","$16,654.00"
New Britain School District,0890011,Total District Expenditures,0000000,"$3,320.00","$14,805.00","$18,125.00"
New Canaan School District,0900011,Total District Expenditures,0000000,$410.00,"$22,854.00","$23,264.00"
New Fairfield School District,0910011,Total District Expenditures,0000000,"$1,417.00","$20,088.00","$21,504.00"
New Hartford School District,0920011,Total District Expenditures,0000000,$560.00,"$20,051.00","$20,611.00"
New Haven School District,0930011,Total District Expenditures,0000000,"$3,019.00","$16,495.00","$19,514.00"
New London School District,0950011,Total District Expenditures,0000000,"$2,580.00","$17,149.00","$19,729.00"
New Milford School District,0960011,Total District Expenditures,0000000,$638.00,"$17,177.00","$17,815.00"
Newington School District,0940011,Total District Expenditures,0000000,$639.00,"$19,481.00","$20,120.00"
Newtown School District,0970011,Total District Expenditures,0000000,$640.00,"$20,164.00","$20,803.00"
Norfolk School District,0980011,Total District Expenditures,0000000,$945.00,"$35,442.00","$36,387.00"
North Branford School District,0990011,Total District Expenditures,0000000,$661.00,"$20,056.00","$20,717.00"
North Canaan School District,1000011,Total District Expenditures,0000000,"$1,672.00","$22,924.00","$24,596.00"
North Haven School District,1010011,Total District Expenditures,0000000,$862.00,"$18,680.00","$19,543.00"
North Stonington School District,1020011,Total District Expenditures,0000000,$608.00,"$17,693.00","$18,302.00"
Norwalk School District,1030011,Total District Expenditures,0000000,"$2,153.00","$19,444.00","$21,597.00"
Norwich School District,1040011,Total District Expenditures,0000000,"$2,346.00","$19,093.00","$21,440.00"
Odyssey Community School District,2630013,Total District Expenditures,0000000,"$1,018.00","$14,496.00","$15,514.00"
Old Saybrook School District,1060011,Total District Expenditures,0000000,$798.00,"$24,461.00","$25,260.00"
Orange School District,1070011,Total District Expenditures,0000000,$446.00,"$17,800.00","$18,246.00"
Oxford School District,1080011,Total District Expenditures,0000000,$304.00,"$19,018.00","$19,322.00"
Park City Prep Charter School District,2830013,Total District Expenditures,0000000,"$3,039.00","$13,478.00","$16,517.00"
Plainfield School District,1090011,Total District Expenditures,0000000,"$1,781.00","$17,605.00","$19,386.00"
Plainville School District,1100011,Total District Expenditures,0000000,"$1,210.00","$18,359.00","$19,569.00"
Plymouth School District,1110011,Total District Expenditures,0000000,"$1,132.00","$17,738.00","$18,870.00"
Pomfret School District,1120011,Total District Expenditures,0000000,$512.00,"$19,006.00","$19,518.00"
Portland School District,1130011,Total District Expenditures,0000000,$933.00,"$18,267.00","$19,200.00"
Preston School District,1140011,Total District Expenditures,0000000,"$1,037.00","$19,939.00","$20,977.00"
Putnam School District,1160011,Total District Expenditures,0000000,"$1,928.00","$17,837.00","$19,764.00"
Redding School District,1170011,Total District Expenditures,0000000,$625.00,"$27,700.00","$28,325.00"
Regional School District 01,2010012,Total District Expenditures,0000000,"$1,725.00","$29,809.00","$31,535.00"
Regional School District 04,2040012,Total District Expenditures,0000000,$561.00,"$23,310.00","$23,871.00"
Regional School District 05,2050012,Total District Expenditures,0000000,$390.00,"$20,805.00","$21,195.00"
Regional School District 06,2060012,Total District Expenditures,0000000,$780.00,"$22,228.00","$23,007.00"
Regional School District 07,2070012,Total District Expenditures,0000000,$492.00,"$23,432.00","$23,924.00"
Regional School District 08,2080012,Total District Expenditures,0000000,$640.00,"$21,261.00","$21,901.00"
Regional School District 09,2090012,Total District Expenditures,0000000,$321.00,"$27,370.00","$27,691.00"
Regional School District 10,2100012,Total District Expenditures,0000000,$497.00,"$18,043.00","$18,540.00"
Regional School District 11,2110012,Total District Expenditures,0000000,"$1,557.00","$25,485.00","$27,042.00"
Regional School District 12,2120012,Total District Expenditures,0000000,$545.00,"$28,802.00","$29,347.00"
Regional School District 13,2130012,Total District Expenditures,0000000,$656.00,"$25,740.00","$26,396.00"
Regional School District 14,2140012,Total District Expenditures,0000000,$652.00,"$21,985.00","$22,637.00"
Regional School District 15,2150012,Total District Expenditures,0000000,$437.00,"$21,246.00","$21,683.00"
Regional School District 16,2160012,Total District Expenditures,0000000,$508.00,"$18,899.00","$19,407.00"
Regional School District 17,2170012,Total District Expenditures,0000000,$769.00,"$22,660.00","$23,429.00"
Regional School District 18,2180012,Total District Expenditures,0000000,$766.00,"$23,138.00","$23,905.00"
Regional School District 19,2190012,Total District Expenditures,0000000,$815.00,"$18,987.00","$19,802.00"
Ridgefield School District,1180011,Total District Expenditures,0000000,$348.00,"$22,444.00","$22,793.00"
Rocky Hill School District,1190011,Total District Expenditures,0000000,$805.00,"$18,259.00","$19,065.00"
Salem School District,1210011,Total District Expenditures,0000000,$528.00,"$19,423.00","$19,951.00"
Salisbury School District,1220011,Total District Expenditures,0000000,"$1,410.00","$24,475.00","$25,885.00"
Scotland School District,1230011,Total District Expenditures,0000000,"$1,881.00","$23,306.00","$25,188.00"
Seymour School District,1240011,Total District Expenditures,0000000,$963.00,"$17,170.00","$18,133.00"
Sharon School District,1250011,Total District Expenditures,0000000,"$8,855.00","$52,063.00","$60,918.00"
Shelton School District,1260011,Total District Expenditures,0000000,$915.00,"$17,295.00","$18,210.00"
Sherman School District,1270011,Total District Expenditures,0000000,$651.00,"$24,242.00","$24,893.00"
Side By Side Charter School District,2700013,Total District Expenditures,0000000,"$1,500.00","$13,229.00","$14,729.00"
Simsbury School District,1280011,Total District Expenditures,0000000,$493.00,"$18,979.00","$19,472.00"
Somers School District,1290011,Total District Expenditures,0000000,$531.00,"$18,886.00","$19,417.00"
South Windsor School District,1320011,Total District Expenditures,0000000,$345.00,"$16,256.00","$16,601.00"
Southington School District,1310011,Total District Expenditures,0000000,$794.00,"$16,456.00","$17,251.00"
Sprague School District,1330011,Total District Expenditures,0000000,"$1,807.00","$16,973.00","$18,780.00"
Stafford School District,1340011,Total District Expenditures,0000000,$984.00,"$21,562.00","$22,546.00"
Stamford Charter School for Excellence District,2960013,Total District Expenditures,0000000,$329.00,"$10,268.00","$10,597.00"
Stamford School District,1350011,Total District Expenditures,0000000,"$1,570.00","$19,884.00","$21,454.00"
Sterling School District,1360011,Total District Expenditures,0000000,"$1,066.00","$17,600.00","$18,666.00"
Stonington School District,1370011,Total District Expenditures,0000000,"$1,045.00","$20,818.00","$21,863.00"
Stratford School District,1380011,Total District Expenditures,0000000,"$1,456.00","$17,484.00","$18,940.00"
Suffield School District,1390011,Total District Expenditures,0000000,"$1,065.00","$18,025.00","$19,090.00"
The Bridge Academy District,2690013,Total District Expenditures,0000000,"$3,560.00","$12,761.00","$16,322.00"
Thomaston School District,1400011,Total District Expenditures,0000000,"$1,066.00","$17,078.00","$18,144.00"
Thompson School District,1410011,Total District Expenditures,0000000,"$1,631.00","$20,684.00","$22,316.00"
Tolland School District,1420011,Total District Expenditures,0000000,$424.00,"$18,250.00","$18,674.00"
Torrington School District,1430011,Total District Expenditures,0000000,"$1,874.00","$19,435.00","$21,309.00"
Trumbull School District,1440011,Total District Expenditures,0000000,$562.00,"$17,140.00","$17,703.00"
Union School District,1450011,Total District Expenditures,0000000,"$1,439.00","$26,994.00","$28,433.00"
Vernon School District,1460011,Total District Expenditures,0000000,"$1,091.00","$16,960.00","$18,050.00"
Voluntown School District,1470011,Total District Expenditures,0000000,$932.00,"$20,086.00","$21,018.00"
Wallingford School District,1480011,Total District Expenditures,0000000,$792.00,"$20,775.00","$21,567.00"
Waterbury School District,1510011,Total District Expenditures,0000000,"$1,768.00","$14,697.00","$16,464.00"
Waterford School District,1520011,Total District Expenditures,0000000,"$1,023.00","$20,880.00","$21,903.00"
Watertown School District,1530011,Total District Expenditures,0000000,"$1,271.00","$18,131.00","$19,402.00"
West Hartford School District,1550011,Total District Expenditures,0000000,$976.00,"$19,228.00","$20,203.00"
West Haven School District,1560011,Total District Expenditures,0000000,"$2,346.00","$15,479.00","$17,825.00"
Westbrook School District,1540011,Total District Expenditures,0000000,"$1,393.00","$29,349.00","$30,742.00"
Weston School District,1570011,Total District Expenditures,0000000,$391.00,"$24,324.00","$24,715.00"
Westport School District,1580011,Total District Expenditures,0000000,$577.00,"$24,292.00","$24,869.00"
Wethersfield School District,1590011,Total District Expenditures,0000000,$641.00,"$17,188.00","$17,828.00"
Willington School District,1600011,Total District Expenditures,0000000,"$1,079.00","$23,434.00","$24,513.00"
Wilton School District,1610011,Total District Expenditures,0000000,$471.00,"$23,402.00","$23,874.00"
Winchester School District,1620011,Total District Expenditures,0000000,"$1,373.00","$21,105.00","$22,479.00"
Windham School District,1630011,Total District Expenditures,0000000,"$2,699.00","$18,094.00","$20,793.00"
Windsor Locks School District,1650011,Total District Expenditures,0000000,"$1,438.00","$21,565.00","$23,004.00"
Windsor School District,1640011,Total District Expenditures,0000000,"$1,201.00","$20,271.00","$21,473.00"
Wolcott School District,1660011,Total District Expenditures,0000000,"$1,007.00","$15,714.00","$16,721.00"
Woodbridge School District,1670011,Total District Expenditures,0000000,$561.00,"$18,177.00","$18,738.00"
Woodstock School District,1690011,Total District Expenditures,0000000,"$1,151.00","$16,295.00","$17,446.00"
