District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
Capitol Region Education Council,2410014,Total District Expenditures,0000000,$382.00,"$22,577.00","$22,960.00"
Chaplin School District,0240011,Total District Expenditures,0000000,$618.00,"$22,104.00","$22,722.00"
Cheshire School District,0250011,Total District Expenditures,0000000,$292.00,"$16,080.00","$16,372.00"
Chester School District,0260011,Total District Expenditures,0000000,$576.00,"$20,964.00","$21,540.00"
Clinton School District,0270011,Total District Expenditures,0000000,$463.00,"$17,805.00","$18,268.00"
Colchester School District,0280011,Total District Expenditures,0000000,$315.00,"$15,663.00","$15,978.00"
Colebrook School District,0290011,Total District Expenditures,0000000,$478.00,"$21,236.00","$21,714.00"
Columbia School District,0300011,Total District Expenditures,0000000,$327.00,"$17,774.00","$18,101.00"
Common Ground High School District,2680013,Total District Expenditures,0000000,$885.00,"$14,965.00","$15,851.00"
Connecticut Technical Education and Career System,9000016,Total District Expenditures,0000000,$0.00,$0.00,$0.00
Cooperative Educational Services,2430014,Total District Expenditures,0000000,$87.00,"$28,410.00","$28,497.00"
Cornwall School District,0310011,Total District Expenditures,0000000,"$1,174.00","$39,051.00","$40,225.00"
Coventry School District,0320011,Total District Expenditures,0000000,$396.00,"$15,633.00","$16,030.00"
Cromwell School District,0330011,Total District Expenditures,0000000,$356.00,"$14,567.00","$14,923.00"
Danbury School District,0340011,Total District Expenditures,0000000,$556.00,"$12,481.00","$13,037.00"
Darien School District,0350011,Total District Expenditures,0000000,$277.00,"$21,050.00","$21,327.00"
Deep River School District,0360011,Total District Expenditures,0000000,$534.00,"$18,549.00","$19,083.00"
Derby School District,0370011,Total District Expenditures,0000000,"$1,390.00","$16,398.00","$17,788.00"
East Granby School District,0400011,Total District Expenditures,0000000,$243.00,"$19,793.00","$20,036.00"
East Haddam School District,0410011,Total District Expenditures,0000000,$262.00,"$19,788.00","$20,049.00"
East Hampton School District,0420011,Total District Expenditures,0000000,$319.00,"$16,298.00","$16,617.00"
East Hartford School District,0430011,Total District Expenditures,0000000,$920.00,"$13,600.00","$14,519.00"
East Haven School District,0440011,Total District Expenditures,0000000,$614.00,"$15,944.00","$16,557.00"
East Lyme School District,0450011,Total District Expenditures,0000000,$293.00,"$16,427.00","$16,720.00"
East Windsor School District,0470011,Total District Expenditures,0000000,$494.00,"$21,845.00","$22,339.00"
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Total District Expenditures,0000000,$268.00,"$38,442.00","$38,709.00"
Eastford School District,0390011,Total District Expenditures,0000000,$475.00,"$19,145.00","$19,620.00"
Easton School District,0460011,Total District Expenditures,0000000,$268.00,"$18,640.00","$18,907.00"
EdAdvance,2420014,Total District Expenditures,0000000,$3.00,"$12,926.00","$12,929.00"
Ellington School District,0480011,Total District Expenditures,0000000,$213.00,"$14,079.00","$14,292.00"
Elm City College Preparatory School District,2890013,Total District Expenditures,0000000,$595.00,"$15,835.00","$16,430.00"
Elm City Montessori School District,2910013,Total District Expenditures,0000000,$397.00,"$14,851.00","$15,248.00"
Enfield School District,0490011,Total District Expenditures,0000000,$596.00,"$14,315.00","$14,911.00"
Essex School District,0500011,Total District Expenditures,0000000,$649.00,"$21,365.00","$22,014.00"
Explorations District,2720013,Total District Expenditures,0000000,"$2,590.00","$17,113.00","$19,703.00"
Fairfield School District,0510011,Total District Expenditures,0000000,$294.00,"$17,634.00","$17,928.00"
Farmington School District,0520011,Total District Expenditures,0000000,$222.00,"$16,492.00","$16,714.00"
Franklin School District,0530011,Total District Expenditures,0000000,$409.00,"$16,182.00","$16,590.00"
Glastonbury School District,0540011,Total District Expenditures,0000000,$284.00,"$17,507.00","$17,791.00"
Granby School District,0560011,Total District Expenditures,0000000,$237.00,"$15,282.00","$15,519.00"
Great Oaks Charter School District,2940013,Total District Expenditures,0000000,"$1,578.00","$12,090.00","$13,667.00"
Greenwich School District,0570011,Total District Expenditures,0000000,$380.00,"$21,292.00","$21,672.00"
Griswold School District,0580011,Total District Expenditures,0000000,$838.00,"$15,144.00","$15,982.00"
Groton School District,0590011,Total District Expenditures,0000000,$579.00,"$16,196.00","$16,776.00"
Guilford School District,0600011,Total District Expenditures,0000000,$306.00,"$17,690.00","$17,996.00"
Hamden School District,0620011,Total District Expenditures,0000000,$682.00,"$18,691.00","$19,374.00"
Hampton School District,0630011,Total District Expenditures,0000000,$765.00,"$24,482.00","$25,248.00"
Hartford School District,0640011,Total District Expenditures,0000000,"$1,015.00","$15,944.00","$16,959.00"
Hartland School District,0650011,Total District Expenditures,0000000,$425.00,"$20,385.00","$20,810.00"
Hebron School District,0670011,Total District Expenditures,0000000,$265.00,"$15,805.00","$16,070.00"
Highville Charter School District,2860013,Total District Expenditures,0000000,$434.00,"$10,231.00","$10,665.00"
Integrated Day Charter School District,2640013,Total District Expenditures,0000000,$301.00,"$11,631.00","$11,932.00"
Interdistrict School for Arts and Comm District,2650013,Total District Expenditures,0000000,$684.00,"$11,643.00","$12,326.00"
Jumoke Academy District,2610013,Total District Expenditures,0000000,$432.00,"$11,893.00","$12,325.00"
Kent School District,0680011,Total District Expenditures,0000000,$632.00,"$25,291.00","$25,923.00"
Killingly School District,0690011,Total District Expenditures,0000000,$708.00,"$17,423.00","$18,132.00"
Learn,2450014,Total District Expenditures,0000000,$480.00,"$11,852.00","$12,332.00"
Lebanon School District,0710011,Total District Expenditures,0000000,$427.00,"$19,229.00","$19,655.00"
Ledyard School District,0720011,Total District Expenditures,0000000,$332.00,"$14,224.00","$14,556.00"
Lisbon School District,0730011,Total District Expenditures,0000000,$490.00,"$17,396.00","$17,886.00"
Litchfield School District,0740011,Total District Expenditures,0000000,$397.00,"$20,386.00","$20,783.00"
Madison School District,0760011,Total District Expenditures,0000000,$320.00,"$19,565.00","$19,885.00"
Manchester School District,0770011,Total District Expenditures,0000000,$691.00,"$16,092.00","$16,782.00"
Mansfield School District,0780011,Total District Expenditures,0000000,$408.00,"$21,467.00","$21,875.00"
Marlborough School District,0790011,Total District Expenditures,0000000,$427.00,"$14,470.00","$14,898.00"
Meriden School District,0800011,Total District Expenditures,0000000,$798.00,"$13,343.00","$14,141.00"
Middletown School District,0830011,Total District Expenditures,0000000,$590.00,"$17,339.00","$17,929.00"
Milford School District,0840011,Total District Expenditures,0000000,$437.00,"$19,198.00","$19,634.00"
Monroe School District,0850011,Total District Expenditures,0000000,$290.00,"$17,499.00","$17,789.00"
Montville School District,0860011,Total District Expenditures,0000000,$435.00,"$15,312.00","$15,747.00"
Naugatuck School District,0880011,Total District Expenditures,0000000,$733.00,"$14,874.00","$15,607.00"
New Beginnings Inc Family Academy District,2800013,Total District Expenditures,0000000,$519.00,"$12,707.00","$13,226.00"
New Britain School District,0890011,Total District Expenditures,0000000,"$1,079.00","$12,491.00","$13,569.00"
New Canaan School District,0900011,Total District Expenditures,0000000,$249.00,"$21,231.00","$21,480.00"
New Fairfield School District,0910011,Total District Expenditures,0000000,$295.00,"$16,753.00","$17,048.00"
New Hartford School District,0920011,Total District Expenditures,0000000,$399.00,"$16,292.00","$16,691.00"
New Haven School District,0930011,Total District Expenditures,0000000,"$1,669.00","$15,223.00","$16,892.00"
New London School District,0950011,Total District Expenditures,0000000,"$1,311.00","$14,150.00","$15,461.00"
New Milford School District,0960011,Total District Expenditures,0000000,$332.00,"$15,352.00","$15,684.00"
Newington School District,0940011,Total District Expenditures,0000000,$281.00,"$17,613.00","$17,895.00"
Newtown School District,0970011,Total District Expenditures,0000000,$252.00,"$17,340.00","$17,592.00"
Norfolk School District,0980011,Total District Expenditures,0000000,$898.00,"$26,393.00","$27,291.00"
North Branford School District,0990011,Total District Expenditures,0000000,$293.00,"$16,737.00","$17,030.00"
North Canaan School District,1000011,Total District Expenditures,0000000,$675.00,"$20,015.00","$20,690.00"
North Haven School District,1010011,Total District Expenditures,0000000,$298.00,"$16,697.00","$16,995.00"
North Stonington School District,1020011,Total District Expenditures,0000000,$298.00,"$16,521.00","$16,819.00"
Norwalk School District,1030011,Total District Expenditures,0000000,$429.00,"$17,549.00","$17,977.00"
Norwich School District,1040011,Total District Expenditures,0000000,"$1,098.00","$15,512.00","$16,610.00"
Odyssey Community School District,2630013,Total District Expenditures,0000000,$191.00,"$12,078.00","$12,269.00"
Old Saybrook School District,1060011,Total District Expenditures,0000000,$336.00,"$20,310.00","$20,646.00"
Orange School District,1070011,Total District Expenditures,0000000,$308.00,"$17,602.00","$17,910.00"
Oxford School District,1080011,Total District Expenditures,0000000,$329.00,"$15,796.00","$16,125.00"
Park City Prep Charter School District,2830013,Total District Expenditures,0000000,$509.00,"$11,164.00","$11,673.00"
Path Academy District,2930013,Total District Expenditures,0000000,$354.00,"$10,462.00","$10,815.00"
Plainfield School District,1090011,Total District Expenditures,0000000,$433.00,"$14,782.00","$15,215.00"
Plainville School District,1100011,Total District Expenditures,0000000,$426.00,"$15,519.00","$15,945.00"
Plymouth School District,1110011,Total District Expenditures,0000000,$434.00,"$14,815.00","$15,249.00"
Pomfret School District,1120011,Total District Expenditures,0000000,$403.00,"$18,459.00","$18,862.00"
Portland School District,1130011,Total District Expenditures,0000000,$252.00,"$15,441.00","$15,693.00"
Preston School District,1140011,Total District Expenditures,0000000,$381.00,"$17,471.00","$17,853.00"
Putnam School District,1160011,Total District Expenditures,0000000,$587.00,"$16,605.00","$17,192.00"
Redding School District,1170011,Total District Expenditures,0000000,$286.00,"$22,924.00","$23,210.00"
Regional School District 01,2010012,Total District Expenditures,0000000,$632.00,"$27,776.00","$28,408.00"
Regional School District 04,2040012,Total District Expenditures,0000000,$297.00,"$19,263.00","$19,560.00"
Regional School District 05,2050012,Total District Expenditures,0000000,$232.00,"$18,819.00","$19,051.00"
Regional School District 06,2060012,Total District Expenditures,0000000,$344.00,"$21,808.00","$22,152.00"
Regional School District 07,2070012,Total District Expenditures,0000000,$248.00,"$18,728.00","$18,976.00"
Regional School District 08,2080012,Total District Expenditures,0000000,$198.00,"$16,774.00","$16,972.00"
Regional School District 09,2090012,Total District Expenditures,0000000,$232.00,"$23,944.00","$24,176.00"
Regional School District 10,2100012,Total District Expenditures,0000000,$267.00,"$15,556.00","$15,823.00"
Regional School District 11,2110012,Total District Expenditures,0000000,$544.00,"$22,880.00","$23,424.00"
Regional School District 12,2120012,Total District Expenditures,0000000,$485.00,"$28,062.00","$28,547.00"
Regional School District 13,2130012,Total District Expenditures,0000000,$231.00,"$19,895.00","$20,127.00"
Regional School District 14,2140012,Total District Expenditures,0000000,$340.00,"$18,856.00","$19,196.00"
Regional School District 15,2150012,Total District Expenditures,0000000,$265.00,"$18,226.00","$18,491.00"
Regional School District 16,2160012,Total District Expenditures,0000000,$313.00,"$15,936.00","$16,249.00"
Regional School District 17,2170012,Total District Expenditures,0000000,$218.00,"$18,777.00","$18,995.00"
Regional School District 18,2180012,Total District Expenditures,0000000,$311.00,"$22,243.00","$22,554.00"
Regional School District 19,2190012,Total District Expenditures,0000000,$287.00,"$18,243.00","$18,530.00"
Ridgefield School District,1180011,Total District Expenditures,0000000,$220.00,"$19,038.00","$19,258.00"
Rocky Hill School District,1190011,Total District Expenditures,0000000,$306.00,"$15,117.00","$15,423.00"
Salem School District,1210011,Total District Expenditures,0000000,$207.00,"$17,167.00","$17,374.00"
Salisbury School District,1220011,Total District Expenditures,0000000,$513.00,"$22,396.00","$22,909.00"
Scotland School District,1230011,Total District Expenditures,0000000,$683.00,"$19,936.00","$20,618.00"
Seymour School District,1240011,Total District Expenditures,0000000,$560.00,"$14,849.00","$15,409.00"
Sharon School District,1250011,Total District Expenditures,0000000,$830.00,"$34,891.00","$35,721.00"
Shelton School District,1260011,Total District Expenditures,0000000,$274.00,"$15,164.00","$15,437.00"
Sherman School District,1270011,Total District Expenditures,0000000,$304.00,"$20,034.00","$20,339.00"
Side By Side Charter School District,2700013,Total District Expenditures,0000000,$372.00,"$12,146.00","$12,518.00"
Simsbury School District,1280011,Total District Expenditures,0000000,$279.00,"$16,839.00","$17,117.00"
Somers School District,1290011,Total District Expenditures,0000000,$330.00,"$15,677.00","$16,007.00"
South Windsor School District,1320011,Total District Expenditures,0000000,$227.00,"$16,567.00","$16,794.00"
Southington School District,1310011,Total District Expenditures,0000000,$303.00,"$14,353.00","$14,656.00"
Sprague School District,1330011,Total District Expenditures,0000000,$464.00,"$14,603.00","$15,068.00"
Stafford School District,1340011,Total District Expenditures,0000000,$430.00,"$17,499.00","$17,929.00"
Stamford Academy District,2820013,Total District Expenditures,0000000,$480.00,"$17,342.00","$17,822.00"
Stamford Charter School for Excellence District,2960013,Total District Expenditures,0000000,$460.00,"$8,077.00","$8,537.00"
Stamford School District,1350011,Total District Expenditures,0000000,$585.00,"$18,426.00","$19,011.00"
Sterling School District,1360011,Total District Expenditures,0000000,$299.00,"$15,203.00","$15,502.00"
Stonington School District,1370011,Total District Expenditures,0000000,$444.00,"$17,677.00","$18,121.00"
Stratford School District,1380011,Total District Expenditures,0000000,$419.00,"$15,560.00","$15,979.00"
Suffield School District,1390011,Total District Expenditures,0000000,$347.00,"$16,350.00","$16,697.00"
The Bridge Academy District,2690013,Total District Expenditures,0000000,$542.00,"$12,518.00","$13,059.00"
Thomaston School District,1400011,Total District Expenditures,0000000,$453.00,"$15,672.00","$16,125.00"
Thompson School District,1410011,Total District Expenditures,0000000,$587.00,"$17,536.00","$18,124.00"
Tolland School District,1420011,Total District Expenditures,0000000,$206.00,"$15,490.00","$15,696.00"
Torrington School District,1430011,Total District Expenditures,0000000,$826.00,"$17,172.00","$17,998.00"
Trailblazers Academy District,2780013,Total District Expenditures,0000000,$545.00,"$33,388.00","$33,933.00"
Trumbull School District,1440011,Total District Expenditures,0000000,$313.00,"$15,718.00","$16,031.00"
Union School District,1450011,Total District Expenditures,0000000,$414.00,"$22,742.00","$23,156.00"
Vernon School District,1460011,Total District Expenditures,0000000,$618.00,"$16,242.00","$16,860.00"
Voluntown School District,1470011,Total District Expenditures,0000000,$372.00,"$17,847.00","$18,219.00"
Wallingford School District,1480011,Total District Expenditures,0000000,$375.00,"$17,910.00","$18,285.00"
Waterbury School District,1510011,Total District Expenditures,0000000,"$1,057.00","$14,366.00","$15,423.00"
Waterford School District,1520011,Total District Expenditures,0000000,$348.00,"$17,631.00","$17,978.00"
Watertown School District,1530011,Total District Expenditures,0000000,$374.00,"$15,783.00","$16,157.00"
West Hartford School District,1550011,Total District Expenditures,0000000,$370.00,"$16,212.00","$16,582.00"
West Haven School District,1560011,Total District Expenditures,0000000,$672.00,"$14,186.00","$14,859.00"
Westbrook School District,1540011,Total District Expenditures,0000000,$337.00,"$24,495.00","$24,832.00"
Weston School District,1570011,Total District Expenditures,0000000,$236.00,"$22,472.00","$22,708.00"
Westport School District,1580011,Total District Expenditures,0000000,$245.00,"$21,599.00","$21,843.00"
Wethersfield School District,1590011,Total District Expenditures,0000000,$301.00,"$15,611.00","$15,912.00"
Willington School District,1600011,Total District Expenditures,0000000,$526.00,"$18,701.00","$19,227.00"
Wilton School District,1610011,Total District Expenditures,0000000,$244.00,"$20,714.00","$20,957.00"
Winchester School District,1620011,Total District Expenditures,0000000,$469.00,"$19,884.00","$20,352.00"
Windham School District,1630011,Total District Expenditures,0000000,"$1,701.00","$16,626.00","$18,327.00"
Windsor Locks School District,1650011,Total District Expenditures,0000000,$397.00,"$19,495.00","$19,893.00"
Windsor School District,1640011,Total District Expenditures,0000000,$465.00,"$18,768.00","$19,233.00"
Wolcott School District,1660011,Total District Expenditures,0000000,$503.00,"$14,533.00","$15,036.00"
Woodbridge School District,1670011,Total District Expenditures,0000000,$284.00,"$17,183.00","$17,467.00"
Woodstock School District,1690011,Total District Expenditures,0000000,$375.00,"$13,920.00","$14,296.00"
