District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
Somers School District,1290011,Total District Expenditures,0000000,$282.00,"$17,513.00","$17,794.00"
South Windsor School District,1320011,Total District Expenditures,0000000,$206.00,"$16,395.00","$16,601.00"
Southington School District,1310011,Total District Expenditures,0000000,$333.00,"$15,373.00","$15,706.00"
Sprague School District,1330011,Total District Expenditures,0000000,$388.00,"$15,990.00","$16,378.00"
Stafford School District,1340011,Total District Expenditures,0000000,$561.00,"$19,009.00","$19,570.00"
Stamford Academy District,2820013,Total District Expenditures,0000000,"$1,867.00","$19,665.00","$21,533.00"
Stamford Charter School for Excellence District,2960013,Total District Expenditures,0000000,$471.00,"$9,914.00","$10,385.00"
Stamford School District,1350011,Total District Expenditures,0000000,$506.00,"$18,283.00","$18,789.00"
Sterling School District,1360011,Total District Expenditures,0000000,$432.00,"$15,757.00","$16,189.00"
Stonington School District,1370011,Total District Expenditures,0000000,$484.00,"$19,154.00","$19,638.00"
Stratford School District,1380011,Total District Expenditures,0000000,$458.00,"$16,512.00","$16,970.00"
Suffield School District,1390011,Total District Expenditures,0000000,$394.00,"$16,974.00","$17,369.00"
The Bridge Academy District,2690013,Total District Expenditures,0000000,$547.00,"$12,512.00","$13,058.00"
Thomaston School District,1400011,Total District Expenditures,0000000,$371.00,"$16,351.00","$16,721.00"
Thompson School District,1410011,Total District Expenditures,0000000,$586.00,"$19,225.00","$19,811.00"
Tolland School District,1420011,Total District Expenditures,0000000,$257.00,"$16,769.00","$17,026.00"
Torrington School District,1430011,Total District Expenditures,0000000,$551.00,"$18,049.00","$18,600.00"
Trumbull School District,1440011,Total District Expenditures,0000000,$359.00,"$16,594.00","$16,953.00"
Union School District,1450011,Total District Expenditures,0000000,$591.00,"$24,607.00","$25,198.00"
Vernon School District,1460011,Total District Expenditures,0000000,$509.00,"$16,497.00","$17,007.00"
Voluntown School District,1470011,Total District Expenditures,0000000,$404.00,"$19,130.00","$19,534.00"
Wallingford School District,1480011,Total District Expenditures,0000000,$280.00,"$18,644.00","$18,924.00"
Waterbury School District,1510011,Total District Expenditures,0000000,"$1,041.00","$14,233.00","$15,274.00"
Waterford School District,1520011,Total District Expenditures,0000000,$363.00,"$19,096.00","$19,458.00"
Watertown School District,1530011,Total District Expenditures,0000000,$359.00,"$16,619.00","$16,978.00"
West Hartford School District,1550011,Total District Expenditures,0000000,$372.00,"$17,493.00","$17,865.00"
West Haven School District,1560011,Total District Expenditures,0000000,$700.00,"$14,696.00","$15,396.00"
Westbrook School District,1540011,Total District Expenditures,0000000,$374.00,"$26,691.00","$27,065.00"
Weston School District,1570011,Total District Expenditures,0000000,$254.00,"$23,338.00","$23,592.00"
Westport School District,1580011,Total District Expenditures,0000000,$253.00,"$22,537.00","$22,790.00"
Wethersfield School District,1590011,Total District Expenditures,0000000,$284.00,"$16,471.00","$16,755.00"
Willington School District,1600011,Total District Expenditures,0000000,$548.00,"$19,411.00","$19,959.00"
Wilton School District,1610011,Total District Expenditures,0000000,$388.00,"$21,846.00","$22,234.00"
Winchester School District,1620011,Total District Expenditures,0000000,$495.00,"$20,738.00","$21,233.00"
Windham School District,1630011,Total District Expenditures,0000000,"$1,356.00","$16,569.00","$17,925.00"
Windsor Locks School District,1650011,Total District Expenditures,0000000,$405.00,"$20,153.00","$20,558.00"
Windsor School District,1640011,Total District Expenditures,0000000,$436.00,"$18,121.00","$18,557.00"
Wolcott School District,1660011,Total District Expenditures,0000000,$421.00,"$15,228.00","$15,649.00"
Woodbridge School District,1670011,Total District Expenditures,0000000,$281.00,"$17,629.00","$17,911.00"
Woodstock School District,1690011,Total District Expenditures,0000000,$550.00,"$15,125.00","$15,676.00"
