District,District Code,School/Category,School Code,Federal Funds,"State, Local, and Other Funds",Total
East Haddam School District,0410011,Total District Expenditures,0000000,$281.00,"$20,482.00","$20,763.00"
East Hampton School District,0420011,Total District Expenditures,0000000,$263.00,"$16,309.00","$16,571.00"
East Hartford School District,0430011,Total District Expenditures,0000000,$880.00,"$13,867.00","$14,747.00"
East Haven School District,0440011,Total District Expenditures,0000000,$761.00,"$15,703.00","$16,465.00"
East Lyme School District,0450011,Total District Expenditures,0000000,$350.00,"$17,404.00","$17,754.00"
East Windsor School District,0470011,Total District Expenditures,0000000,$370.00,"$21,398.00","$21,768.00"
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Total District Expenditures,0000000,$553.00,"$36,313.00","$36,866.00"
Eastford School District,0390011,Total District Expenditures,0000000,$391.00,"$18,816.00","$19,207.00"
Easton School District,0460011,Total District Expenditures,0000000,$257.00,"$18,984.00","$19,241.00"
EdAdvance,2420014,Total District Expenditures,0000000,$1.00,"$19,387.00","$19,387.00"
Ellington School District,0480011,Total District Expenditures,0000000,$201.00,"$14,319.00","$14,520.00"
Elm City College Preparatory School District,2890013,Total District Expenditures,0000000,$555.00,"$14,815.00","$15,370.00"
Elm City Montessori School District,2910013,Total District Expenditures,0000000,$280.00,"$16,260.00","$16,540.00"
Enfield School District,0490011,Total District Expenditures,0000000,$619.00,"$15,199.00","$15,819.00"
Essex School District,0500011,Total District Expenditures,0000000,$334.00,"$23,059.00","$23,392.00"
Explorations District,2720013,Total District Expenditures,0000000,"$3,210.00","$18,269.00","$21,479.00"
Fairfield School District,0510011,Total District Expenditures,0000000,$267.00,"$18,675.00","$18,942.00"
Farmington School District,0520011,Total District Expenditures,0000000,$309.00,"$17,194.00","$17,503.00"
Franklin School District,0530011,Total District Expenditures,0000000,$417.00,"$18,277.00","$18,694.00"
Glastonbury School District,0540011,Total District Expenditures,0000000,$283.00,"$17,591.00","$17,874.00"
Granby School District,0560011,Total District Expenditures,0000000,$235.00,"$16,070.00","$16,305.00"
Great Oaks Charter School District,2940013,Total District Expenditures,0000000,"$1,967.00","$12,355.00","$14,322.00"
Greenwich School District,0570011,Total District Expenditures,0000000,$343.00,"$22,027.00","$22,370.00"
Griswold School District,0580011,Total District Expenditures,0000000,$854.00,"$15,054.00","$15,908.00"
Groton School District,0590011,Total District Expenditures,0000000,$510.00,"$16,434.00","$16,945.00"
Guilford School District,0600011,Total District Expenditures,0000000,$317.00,"$18,248.00","$18,565.00"
Hamden School District,0620011,Total District Expenditures,0000000,$510.00,"$19,699.00","$20,210.00"
Hampton School District,0630011,Total District Expenditures,0000000,$699.00,"$23,780.00","$24,479.00"
Hartford School District,0640011,Total District Expenditures,0000000,$909.00,"$16,352.00","$17,261.00"
Hartland School District,0650011,Total District Expenditures,0000000,$440.00,"$21,177.00","$21,617.00"
Hebron School District,0670011,Total District Expenditures,0000000,$283.00,"$17,068.00","$17,351.00"
Highville Charter School District,2860013,Total District Expenditures,0000000,$320.00,"$9,602.00","$9,922.00"
Integrated Day Charter School District,2640013,Total District Expenditures,0000000,$313.00,"$11,638.00","$11,951.00"
Interdistrict School for Arts and Comm District,2650013,Total District Expenditures,0000000,$612.00,"$12,659.00","$13,271.00"
Jumoke Academy District,2610013,Total District Expenditures,0000000,$418.00,"$12,428.00","$12,845.00"
Kent School District,0680011,Total District Expenditures,0000000,$652.00,"$26,629.00","$27,281.00"
Killingly School District,0690011,Total District Expenditures,0000000,$663.00,"$17,397.00","$18,060.00"
Learn,2450014,Total District Expenditures,0000000,$783.00,"$12,162.00","$12,945.00"
Lebanon School District,0710011,Total District Expenditures,0000000,$444.00,"$19,278.00","$19,722.00"
Ledyard School District,0720011,Total District Expenditures,0000000,$319.00,"$14,325.00","$14,644.00"
Lisbon School District,0730011,Total District Expenditures,0000000,$461.00,"$16,980.00","$17,440.00"
Litchfield School District,0740011,Total District Expenditures,0000000,$395.00,"$20,733.00","$21,128.00"
Madison School District,0760011,Total District Expenditures,0000000,$284.00,"$20,814.00","$21,098.00"
Manchester School District,0770011,Total District Expenditures,0000000,$703.00,"$16,270.00","$16,973.00"
Mansfield School District,0780011,Total District Expenditures,0000000,$394.00,"$20,402.00","$20,796.00"
Marlborough School District,0790011,Total District Expenditures,0000000,$376.00,"$15,854.00","$16,230.00"
Meriden School District,0800011,Total District Expenditures,0000000,$694.00,"$13,527.00","$14,221.00"
Middletown School District,0830011,Total District Expenditures,0000000,$568.00,"$17,909.00","$18,477.00"
Milford School District,0840011,Total District Expenditures,0000000,$398.00,"$20,059.00","$20,457.00"
Monroe School District,0850011,Total District Expenditures,0000000,$270.00,"$18,279.00","$18,549.00"
Montville School District,0860011,Total District Expenditures,0000000,$479.00,"$16,574.00","$17,053.00"
Naugatuck School District,0880011,Total District Expenditures,0000000,$799.00,"$14,882.00","$15,680.00"
New Beginnings Inc Family Academy District,2800013,Total District Expenditures,0000000,$515.00,"$12,351.00","$12,866.00"
New Britain School District,0890011,Total District Expenditures,0000000,"$1,112.00","$12,673.00","$13,785.00"
New Canaan School District,0900011,Total District Expenditures,0000000,$243.00,"$22,325.00","$22,569.00"
New Fairfield School District,0910011,Total District Expenditures,0000000,$293.00,"$17,990.00","$18,282.00"
New Hartford School District,0920011,Total District Expenditures,0000000,$346.00,"$17,328.00","$17,674.00"
New Haven School District,0930011,Total District Expenditures,0000000,"$1,576.00","$15,175.00","$16,751.00"
New London School District,0950011,Total District Expenditures,0000000,"$1,342.00","$14,571.00","$15,913.00"
New Milford School District,0960011,Total District Expenditures,0000000,$315.00,"$16,010.00","$16,325.00"
Newington School District,0940011,Total District Expenditures,0000000,$283.00,"$17,487.00","$17,770.00"
Newtown School District,0970011,Total District Expenditures,0000000,$276.00,"$18,212.00","$18,488.00"
Norfolk School District,0980011,Total District Expenditures,0000000,$572.00,"$25,812.00","$26,384.00"
North Branford School District,0990011,Total District Expenditures,0000000,$511.00,"$17,907.00","$18,418.00"
North Canaan School District,1000011,Total District Expenditures,0000000,$739.00,"$21,487.00","$22,226.00"
North Haven School District,1010011,Total District Expenditures,0000000,$306.00,"$17,288.00","$17,594.00"
North Stonington School District,1020011,Total District Expenditures,0000000,$355.00,"$17,761.00","$18,117.00"
Norwalk School District,1030011,Total District Expenditures,0000000,$401.00,"$18,087.00","$18,488.00"
Norwich School District,1040011,Total District Expenditures,0000000,"$1,212.00","$16,282.00","$17,494.00"
Odyssey Community School District,2630013,Total District Expenditures,0000000,$232.00,"$13,298.00","$13,531.00"
Old Saybrook School District,1060011,Total District Expenditures,0000000,$355.00,"$21,528.00","$21,883.00"
Orange School District,1070011,Total District Expenditures,0000000,$344.00,"$17,647.00","$17,992.00"
Oxford School District,1080011,Total District Expenditures,0000000,$339.00,"$17,042.00","$17,381.00"
Park City Prep Charter School District,2830013,Total District Expenditures,0000000,$536.00,"$12,386.00","$12,922.00"
Plainfield School District,1090011,Total District Expenditures,0000000,$447.00,"$15,479.00","$15,926.00"
Plainville School District,1100011,Total District Expenditures,0000000,$408.00,"$16,672.00","$17,080.00"
Plymouth School District,1110011,Total District Expenditures,0000000,$331.00,"$15,553.00","$15,885.00"
Pomfret School District,1120011,Total District Expenditures,0000000,$421.00,"$18,058.00","$18,479.00"
Portland School District,1130011,Total District Expenditures,0000000,$350.00,"$16,077.00","$16,427.00"
Preston School District,1140011,Total District Expenditures,0000000,$299.00,"$18,131.00","$18,430.00"
Putnam School District,1160011,Total District Expenditures,0000000,$578.00,"$16,011.00","$16,589.00"
Redding School District,1170011,Total District Expenditures,0000000,$294.00,"$24,757.00","$25,051.00"
Regional School District 01,2010012,Total District Expenditures,0000000,$594.00,"$28,826.00","$29,420.00"
Regional School District 04,2040012,Total District Expenditures,0000000,$363.00,"$19,985.00","$20,348.00"
Regional School District 05,2050012,Total District Expenditures,0000000,$220.00,"$19,220.00","$19,439.00"
Regional School District 06,2060012,Total District Expenditures,0000000,$282.00,"$21,272.00","$21,554.00"
Regional School District 07,2070012,Total District Expenditures,0000000,$255.00,"$19,010.00","$19,264.00"
Regional School District 08,2080012,Total District Expenditures,0000000,$220.00,"$17,669.00","$17,889.00"
Regional School District 09,2090012,Total District Expenditures,0000000,$179.00,"$24,581.00","$24,759.00"
Regional School District 10,2100012,Total District Expenditures,0000000,$260.00,"$16,174.00","$16,434.00"
Regional School District 11,2110012,Total District Expenditures,0000000,$832.00,"$24,121.00","$24,953.00"
Regional School District 12,2120012,Total District Expenditures,0000000,$425.00,"$29,859.00","$30,285.00"
Regional School District 13,2130012,Total District Expenditures,0000000,$256.00,"$20,854.00","$21,109.00"
Regional School District 14,2140012,Total District Expenditures,0000000,$300.00,"$19,859.00","$20,159.00"
Regional School District 15,2150012,Total District Expenditures,0000000,$334.00,"$18,768.00","$19,102.00"
Regional School District 16,2160012,Total District Expenditures,0000000,$268.00,"$16,733.00","$17,001.00"
Regional School District 17,2170012,Total District Expenditures,0000000,$307.00,"$19,248.00","$19,556.00"
Regional School District 18,2180012,Total District Expenditures,0000000,$352.00,"$23,278.00","$23,629.00"
Regional School District 19,2190012,Total District Expenditures,0000000,$280.00,"$19,194.00","$19,474.00"
Ridgefield School District,1180011,Total District Expenditures,0000000,$237.00,"$19,893.00","$20,130.00"
Rocky Hill School District,1190011,Total District Expenditures,0000000,$319.00,"$15,451.00","$15,770.00"
Salem School District,1210011,Total District Expenditures,0000000,$449.00,"$17,395.00","$17,845.00"
Salisbury School District,1220011,Total District Expenditures,0000000,$513.00,"$23,915.00","$24,428.00"
Scotland School District,1230011,Total District Expenditures,0000000,$716.00,"$22,004.00","$22,720.00"
Seymour School District,1240011,Total District Expenditures,0000000,$639.00,"$15,258.00","$15,897.00"
Sharon School District,1250011,Total District Expenditures,0000000,$939.00,"$42,333.00","$43,273.00"
Shelton School District,1260011,Total District Expenditures,0000000,$391.00,"$15,433.00","$15,824.00"
Sherman School District,1270011,Total District Expenditures,0000000,$255.00,"$22,098.00","$22,354.00"
Side By Side Charter School District,2700013,Total District Expenditures,0000000,$341.00,"$13,110.00","$13,451.00"
Simsbury School District,1280011,Total District Expenditures,0000000,$300.00,"$17,038.00","$17,338.00"
Somers School District,1290011,Total District Expenditures,0000000,$270.00,"$16,568.00","$16,839.00"
South Windsor School District,1320011,Total District Expenditures,0000000,$212.00,"$16,800.00","$17,012.00"
Southington School District,1310011,Total District Expenditures,0000000,$320.00,"$15,057.00","$15,378.00"
Sprague School District,1330011,Total District Expenditures,0000000,$473.00,"$13,993.00","$14,467.00"
Stafford School District,1340011,Total District Expenditures,0000000,$462.00,"$18,131.00","$18,593.00"
Stamford Academy District,2820013,Total District Expenditures,0000000,"$1,795.00","$20,167.00","$21,962.00"
Stamford Charter School for Excellence District,2960013,Total District Expenditures,0000000,$502.00,"$10,687.00","$11,189.00"
Stamford School District,1350011,Total District Expenditures,0000000,$581.00,"$18,759.00","$19,340.00"
Sterling School District,1360011,Total District Expenditures,0000000,$445.00,"$15,579.00","$16,024.00"
Stonington School District,1370011,Total District Expenditures,0000000,$478.00,"$18,806.00","$19,284.00"
Stratford School District,1380011,Total District Expenditures,0000000,$430.00,"$16,431.00","$16,861.00"
Suffield School District,1390011,Total District Expenditures,0000000,$369.00,"$17,166.00","$17,535.00"
The Bridge Academy District,2690013,Total District Expenditures,0000000,$542.00,"$13,002.00","$13,544.00"
Thomaston School District,1400011,Total District Expenditures,0000000,$381.00,"$16,240.00","$16,621.00"
Thompson School District,1410011,Total District Expenditures,0000000,$526.00,"$18,394.00","$18,920.00"
Tolland School District,1420011,Total District Expenditures,0000000,$224.00,"$16,574.00","$16,798.00"
Torrington School District,1430011,Total District Expenditures,0000000,$778.00,"$17,546.00","$18,324.00"
Trailblazers Academy District,2780013,Total District Expenditures,0000000,"$1,948.00","$31,725.00","$33,672.00"
Trumbull School District,1440011,Total District Expenditures,0000000,$315.00,"$16,346.00","$16,661.00"
Union School District,1450011,Total District Expenditures,0000000,$406.00,"$22,696.00","$23,102.00"
Vernon School District,1460011,Total District Expenditures,0000000,$476.00,"$16,192.00","$16,668.00"
Voluntown School District,1470011,Total District Expenditures,0000000,$464.00,"$19,564.00","$20,028.00"
Wallingford School District,1480011,Total District Expenditures,0000000,$356.00,"$18,436.00","$18,792.00"
Waterbury School District,1510011,Total District Expenditures,0000000,"$1,246.00","$14,613.00","$15,859.00"
Waterford School District,1520011,Total District Expenditures,0000000,$327.00,"$18,562.00","$18,889.00"
Watertown School District,1530011,Total District Expenditures,0000000,$353.00,"$16,093.00","$16,446.00"
West Hartford School District,1550011,Total District Expenditures,0000000,$351.00,"$16,894.00","$17,245.00"
West Haven School District,1560011,Total District Expenditures,0000000,$693.00,"$14,334.00","$15,027.00"
Westbrook School District,1540011,Total District Expenditures,0000000,$371.00,"$26,532.00","$26,903.00"
Weston School District,1570011,Total District Expenditures,0000000,$262.00,"$22,908.00","$23,170.00"
Westport School District,1580011,Total District Expenditures,0000000,$263.00,"$22,511.00","$22,774.00"
Wethersfield School District,1590011,Total District Expenditures,0000000,$301.00,"$16,139.00","$16,441.00"
Willington School District,1600011,Total District Expenditures,0000000,$543.00,"$19,580.00","$20,124.00"
Wilton School District,1610011,Total District Expenditures,0000000,$315.00,"$21,599.00","$21,914.00"
Winchester School District,1620011,Total District Expenditures,0000000,$520.00,"$20,331.00","$20,851.00"
Windham School District,1630011,Total District Expenditures,0000000,"$1,407.00","$16,664.00","$18,071.00"
Windsor Locks School District,1650011,Total District Expenditures,0000000,$417.00,"$19,876.00","$20,293.00"
Windsor School District,1640011,Total District Expenditures,0000000,$472.00,"$19,048.00","$19,520.00"
Wolcott School District,1660011,Total District Expenditures,0000000,$521.00,"$15,146.00","$15,667.00"
Woodbridge School District,1670011,Total District Expenditures,0000000,$322.00,"$17,344.00","$17,666.00"
Woodstock School District,1690011,Total District Expenditures,0000000,$358.00,"$14,600.00","$14,958.00"
